Invoice_id,Branch_id,Customer_id,Product_id,Date,Time,Payment_method,Rating
272-65-1806,A272-65-1806,Normal272-65-1806,p38,1/15/2019,17:17,Ewallet,4.7
333-73-7901,C333-73-7901,Normal333-73-7901,p39,3/23/2019,13:24,Ewallet,7.6
777-82-7220,B777-82-7220,Member777-82-7220,p40,3/3/2019,13:01,Cash,7.7
280-35-5823,B280-35-5823,Member280-35-5823,p41,1/17/2019,18:45,Ewallet,7.9
554-53-8700,C554-53-8700,Member554-53-8700,p42,2/2/2019,10:11,Cash,6.3
354-25-5821,B354-25-5821,Member354-25-5821,p43,2/8/2019,13:03,Cash,5.6
228-96-1411,C228-96-1411,Member228-96-1411,p44,3/4/2019,20:39,Cash,7.6
617-15-4209,C617-15-4209,Member617-15-4209,p45,3/16/2019,19:47,Cash,7.2
132-32-9879,B132-32-9879,Member132-32-9879,p46,3/9/2019,18:00,Cash,9.5
370-41-7321,B370-41-7321,Member370-41-7321,p47,2/27/2019,17:24,Credit card,8.4
727-46-3608,B727-46-3608,Member727-46-3608,p48,2/6/2019,15:47,Ewallet,4.1
669-54-1719,B669-54-1719,Member669-54-1719,p49,2/10/2019,12:45,Credit card,8.1
574-22-5561,C574-22-5561,Member574-22-5561,p50,3/19/2019,17:08,Ewallet,7.9
326-78-5178,C326-78-5178,Member326-78-5178,p51,2/3/2019,10:19,Cash,9.5
162-48-8011,A162-48-8011,Member162-48-8011,p52,2/10/2019,15:10,Cash,8.5
616-24-2851,B616-24-2851,Member616-24-2851,p53,3/22/2019,14:42,Ewallet,6.5
778-71-5554,C778-71-5554,Member778-71-5554,p54,1/25/2019,15:46,Credit card,6.1
242-55-6721,B242-55-6721,Normal242-55-6721,p55,3/7/2019,11:49,Ewallet,6.5
399-46-5918,C399-46-5918,Normal399-46-5918,p56,2/28/2019,19:01,Cash,8.2
106-35-6779,A106-35-6779,Member106-35-6779,p57,3/27/2019,11:26,Cash,5.8
635-40-6220,A635-40-6220,Normal635-40-6220,p58,2/7/2019,11:28,Ewallet,6.6
817-48-8732,A817-48-8732,Member817-48-8732,p59,1/20/2019,15:55,Cash,5.4
120-06-4233,C120-06-4233,Normal120-06-4233,p60,3/12/2019,20:36,Cash,9.3
285-68-5083,C285-68-5083,Member285-68-5083,p61,2/15/2019,17:47,Credit card,10
803-83-5989,C803-83-5989,Normal803-83-5989,p62,2/24/2019,10:55,Ewallet,7
347-34-2234,B347-34-2234,Member347-34-2234,p63,2/3/2019,13:40,Ewallet,10
199-75-8169,A199-75-8169,Member199-75-8169,p64,3/6/2019,12:27,Credit card,8.6
853-23-2453,B853-23-2453,Member853-23-2453,p65,2/14/2019,14:35,Cash,7.6
877-22-3308,A877-22-3308,Member877-22-3308,p66,3/13/2019,16:40,Cash,5.8
838-78-4295,C838-78-4295,Normal838-78-4295,p67,2/10/2019,15:43,Ewallet,6.7
109-28-2512,B109-28-2512,Member109-28-2512,p68,1/7/2019,15:01,Ewallet,9.9
232-11-3025,A232-11-3025,Normal232-11-3025,p69,1/24/2019,10:04,Cash,6.4
382-03-4532,A382-03-4532,Member382-03-4532,p70,2/2/2019,18:50,Cash,4.3
393-65-2792,C393-65-2792,Normal393-65-2792,p71,1/6/2019,12:46,Credit card,9.6
796-12-2025,C796-12-2025,Normal796-12-2025,p72,2/11/2019,16:19,Cash,5.9
510-95-6347,B510-95-6347,Member510-95-6347,p73,3/5/2019,18:17,Ewallet,4
841-35-6630,C841-35-6630,Normal841-35-6630,p74,3/9/2019,18:21,Cash,8.7
287-21-9091,A287-21-9091,Normal287-21-9091,p75,1/22/2019,10:55,Ewallet,9.4
732-94-0499,C732-94-0499,Normal732-94-0499,p76,1/13/2019,17:04,Credit card,5.4
263-10-3913,C263-10-3913,Member263-10-3913,p77,1/9/2019,14:20,Credit card,8.6
381-20-0914,A381-20-0914,Member381-20-0914,p78,1/12/2019,15:48,Credit card,5.7
829-49-1914,C829-49-1914,Member829-49-1914,p79,3/5/2019,16:24,Ewallet,6.6
756-01-7507,C756-01-7507,Normal756-01-7507,p80,1/22/2019,18:56,Cash,6
870-72-4431,C870-72-4431,Normal870-72-4431,p81,1/21/2019,14:42,Credit card,5.5
847-38-7188,B847-38-7188,Normal847-38-7188,p82,1/26/2019,19:56,Ewallet,6.4
480-63-2856,C480-63-2856,Normal480-63-2856,p83,1/23/2019,18:37,Ewallet,6.6
787-56-0757,C787-56-0757,Member787-56-0757,p84,2/23/2019,18:45,Credit card,8.3
360-39-5055,C360-39-5055,Member360-39-5055,p85,3/9/2019,10:17,Cash,6.6
730-50-9884,C730-50-9884,Normal730-50-9884,p86,3/5/2019,14:31,Ewallet,4
362-58-8315,C362-58-8315,Normal362-58-8315,p87,3/25/2019,10:23,Cash,9.9
633-44-8566,A633-44-8566,Member633-44-8566,p88,3/27/2019,20:35,Credit card,7.3
504-35-8843,A504-35-8843,Normal504-35-8843,p89,1/2/2019,16:57,Cash,5.7
318-68-5053,B318-68-5053,Normal318-68-5053,p90,2/27/2019,17:55,Cash,6.1
565-80-5980,C565-80-5980,Member565-80-5980,p91,1/23/2019,10:25,Cash,7.1
225-32-0908,C225-32-0908,Normal225-32-0908,p92,1/26/2019,19:54,Ewallet,8.2
873-51-0671,A873-51-0671,Member873-51-0671,p93,1/10/2019,16:42,Ewallet,5.1
152-08-9985,B152-08-9985,Member152-08-9985,p94,3/12/2019,12:09,Credit card,8.6
512-91-0811,C512-91-0811,Normal512-91-0811,p95,2/6/2019,20:05,Credit card,6.6
594-34-4444,A594-34-4444,Normal594-34-4444,p96,3/8/2019,20:38,Ewallet,7.2
766-85-7061,B766-85-7061,Normal766-85-7061,p97,3/29/2019,10:25,Ewallet,5.1
871-39-9221,C871-39-9221,Normal871-39-9221,p98,2/9/2019,13:11,Cash,4.1
865-92-6136,A865-92-6136,Normal865-92-6136,p99,3/23/2019,10:16,Ewallet,9.3
733-01-9107,B733-01-9107,Normal733-01-9107,p100,3/5/2019,18:14,Cash,7.4
163-56-7055,C163-56-7055,Member163-56-7055,p101,3/26/2019,19:20,Cash,4.1
189-98-2939,C189-98-2939,Normal189-98-2939,p102,3/1/2019,13:22,Cash,7.2
551-21-3069,C551-21-3069,Normal551-21-3069,p103,2/1/2019,11:27,Cash,4.9
212-62-1842,A212-62-1842,Normal212-62-1842,p104,3/28/2019,16:44,Cash,9.9
716-39-1409,B716-39-1409,Normal716-39-1409,p105,3/19/2019,18:19,Cash,8
704-48-3927,A704-48-3927,Member704-48-3927,p106,1/12/2019,14:50,Ewallet,7.3
628-34-3388,C628-34-3388,Normal628-34-3388,p107,1/5/2019,20:54,Credit card,7.9
630-74-5166,A630-74-5166,Normal630-74-5166,p108,3/22/2019,20:19,Cash,7.4
588-01-7461,C588-01-7461,Normal588-01-7461,p109,3/24/2019,10:43,Cash,4.2
861-77-0145,C861-77-0145,Member861-77-0145,p110,3/3/2019,14:30,Cash,9.2
479-26-8945,B479-26-8945,Member479-26-8945,p111,2/5/2019,11:32,Ewallet,4.6
210-67-5886,C210-67-5886,Member210-67-5886,p112,2/5/2019,10:41,Credit card,7.8
227-78-1148,B227-78-1148,Normal227-78-1148,p113,2/15/2019,12:44,Cash,8.4
645-44-1170,A645-44-1170,Member645-44-1170,p114,1/19/2019,20:07,Ewallet,4.3
237-01-6122,C237-01-6122,Member237-01-6122,p115,2/1/2019,20:31,Credit card,9.5
225-98-1496,C225-98-1496,Normal225-98-1496,p116,3/2/2019,13:01,Credit card,7.1
291-32-1427,B291-32-1427,Member291-32-1427,p117,3/5/2019,12:29,Ewallet,5.3
659-65-8956,B659-65-8956,Member659-65-8956,p118,1/16/2019,15:26,Ewallet,5.2
642-32-2990,A642-32-2990,Normal642-32-2990,p119,2/2/2019,20:48,Ewallet,6
378-24-2715,B378-24-2715,Normal378-24-2715,p120,1/20/2019,20:38,Ewallet,4.1
638-60-7125,A638-60-7125,Normal638-60-7125,p121,2/14/2019,17:03,Credit card,5.2
659-36-1684,C659-36-1684,Member659-36-1684,p122,1/12/2019,12:02,Credit card,6.5
219-22-9386,B219-22-9386,Member219-22-9386,p123,3/9/2019,17:26,Credit card,4.2
336-78-2147,C336-78-2147,Member336-78-2147,p124,3/13/2019,19:52,Credit card,4.6
268-27-6179,B268-27-6179,Member268-27-6179,p125,3/9/2019,14:57,Ewallet,7.3
668-90-8900,A668-90-8900,Normal668-90-8900,p126,3/10/2019,18:44,Credit card,4.5
870-54-3162,A870-54-3162,Normal870-54-3162,p127,1/27/2019,13:26,Cash,9
189-08-9157,C189-08-9157,Normal189-08-9157,p128,1/8/2019,16:17,Credit card,5.9
663-86-9076,C663-86-9076,Member663-86-9076,p129,1/8/2019,15:57,Ewallet,8.5
549-84-7482,B549-84-7482,Normal549-84-7482,p130,2/8/2019,11:15,Ewallet,7.2
191-10-6171,B191-10-6171,Normal191-10-6171,p131,1/25/2019,13:18,Cash,7.5
802-70-5316,A802-70-5316,Member802-70-5316,p132,3/6/2019,20:34,Cash,8.3
695-51-0018,B695-51-0018,Normal695-51-0018,p133,2/10/2019,18:36,Cash,7.4
590-83-4591,B590-83-4591,Member590-83-4591,p134,2/17/2019,14:40,Credit card,8.8
483-71-1164,C483-71-1164,Normal483-71-1164,p135,3/8/2019,16:43,Ewallet,5.3
597-78-7908,C597-78-7908,Normal597-78-7908,p136,2/18/2019,19:39,Cash,6.2
700-81-1757,A700-81-1757,Normal700-81-1757,p137,1/18/2019,20:59,Credit card,8.8
354-39-5160,A354-39-5160,Member354-39-5160,p138,2/18/2019,15:39,Cash,9.8
241-72-9525,B241-72-9525,Normal241-72-9525,p139,2/16/2019,12:21,Cash,8.2
575-30-8091,A575-30-8091,Normal575-30-8091,p140,3/16/2019,19:25,Ewallet,9.2
731-81-9469,C731-81-9469,Member731-81-9469,p141,1/23/2019,13:00,Credit card,5.4
280-17-4359,C280-17-4359,Member280-17-4359,p142,1/25/2019,13:48,Cash,8.1
338-65-2210,C338-65-2210,Member338-65-2210,p143,2/5/2019,19:57,Cash,9.1
488-25-4221,C488-25-4221,Member488-25-4221,p144,2/22/2019,10:36,Credit card,8.4
239-10-7476,A239-10-7476,Normal239-10-7476,p145,1/21/2019,16:37,Ewallet,8
458-41-1477,C458-41-1477,Normal458-41-1477,p146,3/8/2019,17:11,Credit card,9.5
685-64-1609,A685-64-1609,Member685-64-1609,p147,2/10/2019,12:28,Ewallet,9.2
568-90-5112,C568-90-5112,Normal568-90-5112,p148,3/19/2019,12:46,Credit card,5.6
262-47-2794,B262-47-2794,Member262-47-2794,p149,3/6/2019,15:07,Credit card,6.2
238-49-0436,A238-49-0436,Normal238-49-0436,p150,3/27/2019,13:48,Credit card,4.9
608-96-3517,B608-96-3517,Member608-96-3517,p151,3/23/2019,19:20,Credit card,4.8
584-86-7256,C584-86-7256,Member584-86-7256,p152,3/11/2019,16:07,Credit card,7.3
746-94-0204,A746-94-0204,Normal746-94-0204,p153,1/29/2019,11:56,Credit card,7.4
214-17-6927,C214-17-6927,Normal214-17-6927,p154,2/7/2019,18:23,Ewallet,9.9
400-89-4171,C400-89-4171,Normal400-89-4171,p155,1/28/2019,13:05,Cash,9.3
782-95-9291,A782-95-9291,Member782-95-9291,p156,2/20/2019,15:55,Credit card,9
279-74-2924,B279-74-2924,Member279-74-2924,p157,1/4/2019,19:40,Cash,6.1
307-85-2293,B307-85-2293,Normal307-85-2293,p158,3/7/2019,13:58,Ewallet,9.7
743-04-1105,B743-04-1105,Member743-04-1105,p159,3/30/2019,14:43,Ewallet,6
423-57-2993,B423-57-2993,Normal423-57-2993,p160,3/27/2019,19:18,Ewallet,10
894-41-5205,C894-41-5205,Normal894-41-5205,p161,1/19/2019,19:39,Credit card,8.3
275-28-0149,A275-28-0149,Normal275-28-0149,p162,2/25/2019,16:21,Cash,6
101-17-6199,A101-17-6199,Normal101-17-6199,p163,3/13/2019,19:44,Credit card,7
423-80-0988,C423-80-0988,Normal423-80-0988,p164,1/30/2019,19:42,Ewallet,6.5
548-46-9322,B548-46-9322,Normal548-46-9322,p165,2/20/2019,15:24,Credit card,5.9
505-02-0892,B505-02-0892,Member505-02-0892,p166,2/25/2019,14:12,Ewallet,5.6
234-65-2137,C234-65-2137,Normal234-65-2137,p167,1/16/2019,13:32,Cash,4.8
687-47-8271,A687-47-8271,Normal687-47-8271,p168,2/8/2019,16:20,Credit card,8.7
796-32-9050,A796-32-9050,Normal796-32-9050,p169,1/19/2019,16:31,Cash,6.5
105-31-1824,A105-31-1824,Member105-31-1824,p170,2/1/2019,15:10,Credit card,8.5
249-42-3782,A249-42-3782,Normal249-42-3782,p171,1/3/2019,11:36,Ewallet,5.5
316-55-4634,B316-55-4634,Member316-55-4634,p172,1/26/2019,12:45,Credit card,9.4
733-33-4967,C733-33-4967,Normal733-33-4967,p173,3/3/2019,19:17,Cash,6.3
608-27-6295,B608-27-6295,Member608-27-6295,p174,1/19/2019,17:34,Credit card,9.8
414-12-7047,B414-12-7047,Normal414-12-7047,p175,1/18/2019,12:04,Ewallet,8.7
827-26-2100,A827-26-2100,Member827-26-2100,p176,3/21/2019,16:21,Ewallet,8.8
175-54-2529,A175-54-2529,Member175-54-2529,p177,3/3/2019,17:01,Credit card,9.6
139-52-2867,C139-52-2867,Normal139-52-2867,p178,2/13/2019,10:50,Credit card,4.8
407-63-8975,A407-63-8975,Normal407-63-8975,p179,3/23/2019,19:16,Ewallet,4.4
342-65-4817,C342-65-4817,Member342-65-4817,p180,1/28/2019,16:47,Ewallet,9.9
130-98-8941,C130-98-8941,Normal130-98-8941,p181,2/9/2019,10:00,Cash,5.7
434-83-9547,C434-83-9547,Member434-83-9547,p182,1/23/2019,11:51,Cash,7.7
851-28-6367,A851-28-6367,Member851-28-6367,p183,3/23/2019,10:55,Ewallet,8
824-88-3614,C824-88-3614,Normal824-88-3614,p184,1/25/2019,15:00,Ewallet,5.7
586-25-0848,A586-25-0848,Normal586-25-0848,p185,3/4/2019,11:19,Credit card,6.7
895-66-0685,B895-66-0685,Member895-66-0685,p186,3/5/2019,19:46,Ewallet,8
305-14-0245,B305-14-0245,Member305-14-0245,p187,3/3/2019,19:00,Ewallet,7.5
732-04-5373,B732-04-5373,Member732-04-5373,p188,2/8/2019,10:53,Cash,7
400-60-7251,A400-60-7251,Normal400-60-7251,p189,2/10/2019,12:50,Ewallet,9.9
593-65-1552,C593-65-1552,Normal593-65-1552,p190,1/28/2019,20:50,Credit card,5.9
284-34-9626,B284-34-9626,Normal284-34-9626,p191,2/11/2019,10:39,Credit card,7.2
437-58-8131,B437-58-8131,Normal437-58-8131,p192,1/15/2019,13:41,Ewallet,4.6
286-43-6208,C286-43-6208,Normal286-43-6208,p193,3/16/2019,19:08,Cash,9.2
641-43-2399,B641-43-2399,Normal641-43-2399,p194,1/26/2019,20:23,Ewallet,5.7
831-07-6050,A831-07-6050,Normal831-07-6050,p195,3/19/2019,11:30,Credit card,9.9
556-86-3144,C556-86-3144,Member556-86-3144,p196,1/13/2019,19:30,Cash,5
848-24-9445,C848-24-9445,Member848-24-9445,p197,3/26/2019,18:03,Cash,4.9
856-22-8149,A856-22-8149,Normal856-22-8149,p198,3/23/2019,10:13,Ewallet,6.1
699-01-4164,C699-01-4164,Normal699-01-4164,p199,3/12/2019,19:58,Credit card,8.2
420-11-4919,C420-11-4919,Member420-11-4919,p200,2/17/2019,19:57,Credit card,5.5
606-80-4905,C606-80-4905,Member606-80-4905,p201,1/29/2019,10:01,Credit card,6.8
542-41-0513,B542-41-0513,Member542-41-0513,p202,3/15/2019,11:57,Cash,6.6
426-39-2418,C426-39-2418,Normal426-39-2418,p203,1/14/2019,10:02,Cash,9.8
875-46-5808,B875-46-5808,Member875-46-5808,p204,2/6/2019,14:51,Ewallet,8.7
394-43-4238,B394-43-4238,Member394-43-4238,p205,2/15/2019,12:42,Credit card,5.4
749-24-1565,A749-24-1565,Normal749-24-1565,p206,1/3/2019,12:02,Ewallet,7.9
672-51-8681,C672-51-8681,Member672-51-8681,p207,1/4/2019,18:19,Credit card,9.7
263-87-5680,C263-87-5680,Member263-87-5680,p208,3/18/2019,17:38,Ewallet,7.8
573-58-9734,B573-58-9734,Normal573-58-9734,p209,3/28/2019,13:41,Ewallet,5.1
817-69-8206,B817-69-8206,Normal817-69-8206,p210,3/2/2019,19:42,Credit card,6.5
888-02-0338,A888-02-0338,Normal888-02-0338,p211,1/25/2019,20:24,Ewallet,5.9
677-11-0152,C677-11-0152,Normal677-11-0152,p212,1/16/2019,18:08,Cash,8.8
142-63-6033,B142-63-6033,Normal142-63-6033,p213,3/20/2019,19:17,Ewallet,4.9
656-16-1063,B656-16-1063,Normal656-16-1063,p214,1/4/2019,13:24,Credit card,4.4
891-58-8335,B891-58-8335,Member891-58-8335,p215,3/11/2019,15:53,Cash,6.5
802-43-8934,A802-43-8934,Normal802-43-8934,p216,3/22/2019,15:05,Credit card,8.3
560-30-5617,B560-30-5617,Normal560-30-5617,p217,3/24/2019,18:27,Cash,8.5
319-74-2561,A319-74-2561,Member319-74-2561,p218,2/21/2019,16:55,Cash,5.5
549-03-9315,B549-03-9315,Normal549-03-9315,p219,2/12/2019,12:58,Ewallet,8.7
790-29-1172,B790-29-1172,Normal790-29-1172,p220,3/10/2019,18:59,Credit card,7.9
239-36-3640,B239-36-3640,Normal239-36-3640,p221,1/31/2019,13:44,Ewallet,6.1
468-01-2051,B468-01-2051,Normal468-01-2051,p222,3/6/2019,13:46,Ewallet,5.4
389-25-3394,C389-25-3394,Normal389-25-3394,p223,2/17/2019,18:06,Cash,9.4
279-62-1445,C279-62-1445,Member279-62-1445,p224,2/21/2019,12:38,Cash,8.2
213-72-6612,A213-72-6612,Normal213-72-6612,p225,3/20/2019,15:56,Cash,6.2
746-68-6593,C746-68-6593,Member746-68-6593,p226,1/11/2019,14:29,Credit card,9.7
836-82-5858,B836-82-5858,Member836-82-5858,p227,1/26/2019,19:14,Ewallet,4
583-72-1480,C583-72-1480,Member583-72-1480,p228,1/31/2019,16:24,Ewallet,9.7
466-61-5506,B466-61-5506,Member466-61-5506,p229,2/26/2019,10:52,Cash,5.3
721-86-6247,A721-86-6247,Normal721-86-6247,p230,3/11/2019,12:55,Ewallet,7.4
289-65-5721,B289-65-5721,Normal289-65-5721,p231,1/26/2019,19:28,Cash,6.5
545-46-3100,B545-46-3100,Member545-46-3100,p232,3/12/2019,13:52,Credit card,8.7
418-02-5978,B418-02-5978,Normal418-02-5978,p233,2/11/2019,10:54,Cash,8
269-04-5750,B269-04-5750,Member269-04-5750,p234,2/21/2019,18:31,Cash,6.7
157-13-5295,A157-13-5295,Member157-13-5295,p235,3/9/2019,18:24,Ewallet,6.5
645-78-8093,A645-78-8093,Normal645-78-8093,p236,1/20/2019,18:09,Ewallet,4.1
211-30-9270,C211-30-9270,Normal211-30-9270,p237,1/28/2019,15:16,Credit card,4.9
755-12-3214,C755-12-3214,Member755-12-3214,p238,3/5/2019,17:07,Credit card,8.6
346-84-3103,B346-84-3103,Member346-84-3103,p239,3/2/2019,19:26,Cash,4.3
478-06-7835,A478-06-7835,Normal478-06-7835,p240,1/11/2019,11:20,Ewallet,4.9
540-11-4336,A540-11-4336,Normal540-11-4336,p241,1/11/2019,16:49,Credit card,5.6
448-81-5016,A448-81-5016,Normal448-81-5016,p242,3/11/2019,12:01,Credit card,5.8
142-72-4741,C142-72-4741,Member142-72-4741,p243,2/28/2019,18:37,Credit card,6
217-58-1179,A217-58-1179,Member217-58-1179,p244,1/5/2019,11:25,Cash,4.2
376-02-8238,B376-02-8238,Normal376-02-8238,p245,2/2/2019,18:42,Credit card,8.3
530-90-9855,A530-90-9855,Member530-90-9855,p246,1/1/2019,14:47,Cash,5.7
866-05-7563,B866-05-7563,Member866-05-7563,p247,2/9/2019,19:43,Cash,4.8
604-70-6476,A604-70-6476,Member604-70-6476,p248,1/23/2019,14:04,Ewallet,6.8
799-71-1548,A799-71-1548,Member799-71-1548,p249,1/7/2019,16:11,Credit card,8.8
785-13-7708,B785-13-7708,Normal785-13-7708,p250,1/14/2019,19:06,Credit card,4.2
845-51-0542,B845-51-0542,Member845-51-0542,p251,2/2/2019,15:34,Ewallet,6.4
662-47-5456,C662-47-5456,Member662-47-5456,p252,3/17/2019,19:06,Credit card,8.4
883-17-4236,C883-17-4236,Normal883-17-4236,p253,3/2/2019,19:44,Credit card,7.2
290-68-2984,A290-68-2984,Normal290-68-2984,p254,3/16/2019,11:22,Cash,5.2
704-11-6354,A704-11-6354,Member704-11-6354,p255,1/6/2019,11:23,Cash,8.9
110-48-7033,B110-48-7033,Member110-48-7033,p256,1/29/2019,14:12,Cash,9
366-93-0948,A366-93-0948,Member366-93-0948,p257,1/31/2019,10:46,Credit card,9.7
729-09-9681,A729-09-9681,Member729-09-9681,p258,2/5/2019,10:16,Ewallet,8.7
151-16-1484,A151-16-1484,Member151-16-1484,p259,2/13/2019,12:38,Ewallet,6.5
380-94-4661,C380-94-4661,Member380-94-4661,p260,2/7/2019,13:05,Credit card,6.9
850-41-9669,A850-41-9669,Normal850-41-9669,p261,3/19/2019,13:25,Ewallet,6.2
821-07-3596,C821-07-3596,Normal821-07-3596,p262,3/7/2019,14:53,Ewallet,5.6
655-85-5130,B655-85-5130,Member655-85-5130,p263,3/13/2019,19:22,Cash,5.7
447-15-7839,A447-15-7839,Member447-15-7839,p264,2/9/2019,11:00,Cash,4.2
154-74-7179,B154-74-7179,Normal154-74-7179,p265,2/26/2019,19:24,Ewallet,7.9
253-12-6086,A253-12-6086,Member253-12-6086,p266,3/12/2019,12:43,Credit card,8.7
808-65-0703,C808-65-0703,Normal808-65-0703,p267,3/14/2019,17:22,Credit card,6.9
571-94-0759,B571-94-0759,Member571-94-0759,p268,1/8/2019,20:55,Cash,9.5
144-51-6085,A144-51-6085,Member144-51-6085,p269,1/5/2019,16:05,Credit card,4.4
731-14-2199,A731-14-2199,Member731-14-2199,p270,1/4/2019,13:34,Ewallet,7
783-09-1637,B783-09-1637,Normal783-09-1637,p271,3/6/2019,18:13,Ewallet,6.3
687-15-1097,C687-15-1097,Member687-15-1097,p272,1/3/2019,19:17,Cash,9.7
126-54-1082,A126-54-1082,Member126-54-1082,p273,1/7/2019,11:44,Credit card,8.8
633-91-1052,A633-91-1052,Normal633-91-1052,p274,1/27/2019,15:51,Cash,5.1
477-24-6490,B477-24-6490,Normal477-24-6490,p275,2/26/2019,16:52,Ewallet,7.9
566-19-5475,B566-19-5475,Normal566-19-5475,p276,1/7/2019,20:52,Cash,6.2
526-86-8552,C526-86-8552,Member526-86-8552,p277,1/7/2019,17:36,Cash,7.1
376-56-3573,C376-56-3573,Normal376-56-3573,p278,2/2/2019,13:23,Ewallet,6.4
537-72-0426,C537-72-0426,Member537-72-0426,p279,3/20/2019,16:28,Cash,5.7
828-61-5674,A828-61-5674,Member828-61-5674,p280,3/20/2019,19:57,Credit card,9.6
136-08-6195,A136-08-6195,Normal136-08-6195,p281,2/15/2019,17:01,Credit card,6.4
523-38-0215,C523-38-0215,Normal523-38-0215,p282,3/6/2019,13:29,Credit card,7.9
490-29-1201,A490-29-1201,Normal490-29-1201,p283,1/6/2019,11:09,Cash,6.5
667-92-0055,A667-92-0055,Member667-92-0055,p284,3/4/2019,15:02,Ewallet,8.5
565-17-3836,A565-17-3836,Member565-17-3836,p285,3/12/2019,14:21,Cash,9.1
498-41-1961,B498-41-1961,Normal498-41-1961,p286,2/20/2019,18:01,Cash,7.6
593-95-4461,C593-95-4461,Member593-95-4461,p287,3/24/2019,14:49,Cash,6.9
226-71-3580,C226-71-3580,Normal226-71-3580,p288,1/31/2019,12:02,Cash,9.5
283-79-9594,B283-79-9594,Normal283-79-9594,p289,1/25/2019,13:30,Credit card,5.2
430-60-3493,A430-60-3493,Member430-60-3493,p290,2/3/2019,14:38,Cash,4.2
139-20-0155,B139-20-0155,Member139-20-0155,p291,1/24/2019,17:37,Credit card,7
558-80-4082,C558-80-4082,Normal558-80-4082,p292,3/14/2019,17:20,Ewallet,6
278-97-7759,A278-97-7759,Member278-97-7759,p293,2/18/2019,20:29,Cash,4.7
316-68-6352,A316-68-6352,Member316-68-6352,p294,1/21/2019,10:00,Cash,7.1
