sales_id,Invoice ID,Branch_id,Branch,Cty_id,,City,Customer_id,Customer_type,Gender,Product_id,Product line,Unit price,Quantity,Tax,Total,Date,Time,Payment_method,cogs,gross margin percentage,gross income,Rating
s656-95-9349,656-95-9349,A656-95-9349,A,Y656-95-9349,Y,Yangon,Member656-95-9349,Member,Female,p17,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
s765-26-6951,765-26-6951,A765-26-6951,A,Y765-26-6951,Y,Yangon,Normal765-26-6951,Normal,Male,p18,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
s329-62-1586,329-62-1586,A329-62-1586,A,Y329-62-1586,Y,Yangon,Normal329-62-1586,Normal,Male,p19,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
s319-50-3348,319-50-3348,B319-50-3348,B,M319-50-3348,M,Mandalay,Normal319-50-3348,Normal,Female,p20,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4
s300-71-4605,300-71-4605,C300-71-4605,C,N300-71-4605,N,Naypyitaw,Member300-71-4605,Member,Male,p21,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
s371-85-5789,371-85-5789,B371-85-5789,B,M371-85-5789,M,Mandalay,Normal371-85-5789,Normal,Male,p22,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1
s273-16-6619,273-16-6619,B273-16-6619,B,M273-16-6619,M,Mandalay,Normal273-16-6619,Normal,Male,p23,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
s636-48-8204,636-48-8204,A636-48-8204,A,Y636-48-8204,Y,Yangon,Normal636-48-8204,Normal,Male,p24,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
s549-59-1358,549-59-1358,A549-59-1358,A,Y549-59-1358,Y,Yangon,Member549-59-1358,Member,Male,p25,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
s227-03-5010,227-03-5010,A227-03-5010,A,Y227-03-5010,Y,Yangon,Member227-03-5010,Member,Female,p26,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
s649-29-6775,649-29-6775,B649-29-6775,B,M649-29-6775,M,Mandalay,Normal649-29-6775,Normal,Male,p27,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,33.52,4.761904762,1.676,6.7
s189-17-4241,189-17-4241,A189-17-4241,A,Y189-17-4241,Y,Yangon,Normal189-17-4241,Normal,Female,p28,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7
s145-94-9061,145-94-9061,B145-94-9061,B,M145-94-9061,M,Mandalay,Normal145-94-9061,Normal,Female,p29,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,441.8,4.761904762,22.09,9.6
s848-62-7243,848-62-7243,A848-62-7243,A,Y848-62-7243,Y,Yangon,Normal848-62-7243,Normal,Male,p30,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,224.01,4.761904762,11.2005,7.4
s871-79-8483,871-79-8483,B871-79-8483,B,M871-79-8483,M,Mandalay,Normal871-79-8483,Normal,Male,p31,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,470.65,4.761904762,23.5325,4.8
s149-71-6266,149-71-6266,B149-71-6266,B,M149-71-6266,M,Mandalay,Member149-71-6266,Member,Male,p32,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,702.63,4.761904762,35.1315,4.5
s640-49-2076,640-49-2076,B640-49-2076,B,M640-49-2076,M,Mandalay,Normal640-49-2076,Normal,Male,p33,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,670.24,4.761904762,33.512,5.1
s595-11-5460,595-11-5460,A595-11-5460,A,Y595-11-5460,Y,Yangon,Normal595-11-5460,Normal,Male,p34,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,193.16,4.761904762,9.658,5.1
s183-56-6882,183-56-6882,C183-56-6882,C,N183-56-6882,N,Naypyitaw,Member183-56-6882,Member,Female,p35,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,397.68,4.761904762,19.884,7.5
s232-16-2483,232-16-2483,C232-16-2483,C,N232-16-2483,N,Naypyitaw,Member232-16-2483,Member,Female,p36,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,68.12,4.761904762,3.406,6.8
s129-29-8530,129-29-8530,A129-29-8530,A,Y129-29-8530,Y,Yangon,Member129-29-8530,Member,Male,p37,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7
s272-65-1806,272-65-1806,A272-65-1806,A,Y272-65-1806,Y,Yangon,Normal272-65-1806,Normal,Female,p38,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,547.92,4.761904762,27.396,4.7
s333-73-7901,333-73-7901,C333-73-7901,C,N333-73-7901,N,Naypyitaw,Normal333-73-7901,Normal,Female,p39,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,439.36,4.761904762,21.968,7.6
s777-82-7220,777-82-7220,B777-82-7220,B,M777-82-7220,M,Mandalay,Member777-82-7220,Member,Male,p40,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,240.96,4.761904762,12.048,7.7
s280-35-5823,280-35-5823,B280-35-5823,B,M280-35-5823,M,Mandalay,Member280-35-5823,Member,Female,p41,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,86.72,4.761904762,4.336,7.9
s554-53-8700,554-53-8700,C554-53-8700,C,N554-53-8700,N,Naypyitaw,Member554-53-8700,Member,Male,p42,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,112.22,4.761904762,5.611,6.3
s354-25-5821,354-25-5821,B354-25-5821,B,M354-25-5821,M,Mandalay,Member354-25-5821,Member,Female,p43,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,414.72,4.761904762,20.736,5.6
s228-96-1411,228-96-1411,C228-96-1411,C,N228-96-1411,N,Naypyitaw,Member228-96-1411,Member,Female,p44,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,789.6,4.761904762,39.48,7.6
s617-15-4209,617-15-4209,C617-15-4209,C,N617-15-4209,N,Naypyitaw,Member617-15-4209,Member,Male,p45,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,30.74,4.761904762,1.537,7.2
s132-32-9879,132-32-9879,B132-32-9879,B,M132-32-9879,M,Mandalay,Member132-32-9879,Member,Female,p46,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,375.84,4.761904762,18.792,9.5
s370-41-7321,370-41-7321,B370-41-7321,B,M370-41-7321,M,Mandalay,Member370-41-7321,Member,Male,p47,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,510.21,4.761904762,25.5105,8.4
s727-46-3608,727-46-3608,B727-46-3608,B,M727-46-3608,M,Mandalay,Member727-46-3608,Member,Female,p48,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,180.09,4.761904762,9.0045,4.1
s669-54-1719,669-54-1719,B669-54-1719,B,M669-54-1719,M,Mandalay,Member669-54-1719,Member,Male,p49,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,113.58,4.761904762,5.679,8.1
s574-22-5561,574-22-5561,C574-22-5561,C,N574-22-5561,N,Naypyitaw,Member574-22-5561,Member,Female,p50,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,826.3,4.761904762,41.315,7.9
s326-78-5178,326-78-5178,C326-78-5178,C,N326-78-5178,N,Naypyitaw,Member326-78-5178,Member,Male,p51,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,639.8,4.761904762,31.99,9.5
s162-48-8011,162-48-8011,A162-48-8011,A,Y162-48-8011,Y,Yangon,Member162-48-8011,Member,Female,p52,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,222.95,4.761904762,11.1475,8.5
s616-24-2851,616-24-2851,B616-24-2851,B,M616-24-2851,M,Mandalay,Member616-24-2851,Member,Female,p53,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,71.48,4.761904762,3.574,6.5
s778-71-5554,778-71-5554,C778-71-5554,C,N778-71-5554,N,Naypyitaw,Member778-71-5554,Member,Male,p54,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,15.43,4.761904762,0.7715,6.1
s242-55-6721,242-55-6721,B242-55-6721,B,M242-55-6721,M,Mandalay,Normal242-55-6721,Normal,Male,p55,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,32.32,4.761904762,1.616,6.5
s399-46-5918,399-46-5918,C399-46-5918,C,N399-46-5918,N,Naypyitaw,Normal399-46-5918,Normal,Female,p56,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,687.84,4.761904762,34.392,8.2
s106-35-6779,106-35-6779,A106-35-6779,A,Y106-35-6779,Y,Yangon,Member106-35-6779,Member,Male,p57,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,88.68,4.761904762,4.434,5.8
s635-40-6220,635-40-6220,A635-40-6220,A,Y635-40-6220,Y,Yangon,Normal635-40-6220,Normal,Male,p58,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,716.8,4.761904762,35.84,6.6
s817-48-8732,817-48-8732,A817-48-8732,A,Y817-48-8732,Y,Yangon,Member817-48-8732,Member,Female,p59,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,723.5,4.761904762,36.175,5.4
s120-06-4233,120-06-4233,C120-06-4233,C,N120-06-4233,N,Naypyitaw,Normal120-06-4233,Normal,Male,p60,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,183.66,4.761904762,9.183,9.3
s285-68-5083,285-68-5083,C285-68-5083,C,N285-68-5083,N,Naypyitaw,Member285-68-5083,Member,Female,p61,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10
s803-83-5989,803-83-5989,C803-83-5989,C,N803-83-5989,N,Naypyitaw,Normal803-83-5989,Normal,Male,p62,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,334.38,4.761904762,16.719,7
s347-34-2234,347-34-2234,B347-34-2234,B,M347-34-2234,M,Mandalay,Member347-34-2234,Member,Female,p63,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,495.63,4.761904762,24.7815,10
s199-75-8169,199-75-8169,A199-75-8169,A,Y199-75-8169,Y,Yangon,Member199-75-8169,Member,Male,p64,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,158.1,4.761904762,7.905,8.6
s853-23-2453,853-23-2453,B853-23-2453,B,M853-23-2453,M,Mandalay,Member853-23-2453,Member,Male,p65,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,302.96,4.761904762,15.148,7.6
s877-22-3308,877-22-3308,A877-22-3308,A,Y877-22-3308,Y,Yangon,Member877-22-3308,Member,Male,p66,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,158.7,4.761904762,7.935,5.8
s838-78-4295,838-78-4295,C838-78-4295,C,N838-78-4295,N,Naypyitaw,Normal838-78-4295,Normal,Female,p67,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,66.94,4.761904762,3.347,6.7
s109-28-2512,109-28-2512,B109-28-2512,B,M109-28-2512,M,Mandalay,Member109-28-2512,Member,Female,p68,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,585.66,4.761904762,29.283,9.9
s232-11-3025,232-11-3025,A232-11-3025,A,Y232-11-3025,Y,Yangon,Normal232-11-3025,Normal,Male,p69,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,787.7,4.761904762,39.385,6.4
s382-03-4532,382-03-4532,A382-03-4532,A,Y382-03-4532,Y,Yangon,Member382-03-4532,Member,Female,p70,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,18.33,4.761904762,0.9165,4.3
s393-65-2792,393-65-2792,C393-65-2792,C,N393-65-2792,N,Naypyitaw,Normal393-65-2792,Normal,Male,p71,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,894.8,4.761904762,44.74,9.6
s796-12-2025,796-12-2025,C796-12-2025,C,N796-12-2025,N,Naypyitaw,Normal796-12-2025,Normal,Male,p72,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,621.2,4.761904762,31.06,5.9
s510-95-6347,510-95-6347,B510-95-6347,B,M510-95-6347,M,Mandalay,Member510-95-6347,Member,Female,p73,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,145.56,4.761904762,7.278,4
s841-35-6630,841-35-6630,C841-35-6630,C,N841-35-6630,N,Naypyitaw,Normal841-35-6630,Normal,Female,p74,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,455.46,4.761904762,22.773,8.7
s287-21-9091,287-21-9091,A287-21-9091,A,Y287-21-9091,Y,Yangon,Normal287-21-9091,Normal,Male,p75,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,672.03,4.761904762,33.6015,9.4
s732-94-0499,732-94-0499,C732-94-0499,C,N732-94-0499,N,Naypyitaw,Normal732-94-0499,Normal,Female,p76,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,416.5,4.761904762,20.825,5.4
s263-10-3913,263-10-3913,C263-10-3913,C,N263-10-3913,N,Naypyitaw,Member263-10-3913,Member,Male,p77,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,441.36,4.761904762,22.068,8.6
s381-20-0914,381-20-0914,A381-20-0914,A,Y381-20-0914,Y,Yangon,Member381-20-0914,Member,Female,p78,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,180.09,4.761904762,9.0045,5.7
s829-49-1914,829-49-1914,C829-49-1914,C,N829-49-1914,N,Naypyitaw,Member829-49-1914,Member,Female,p79,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,783.1,4.761904762,39.155,6.6
s756-01-7507,756-01-7507,C756-01-7507,C,N756-01-7507,N,Naypyitaw,Normal756-01-7507,Normal,Female,p80,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,101.9,4.761904762,5.095,6
s870-72-4431,870-72-4431,C870-72-4431,C,N870-72-4431,N,Naypyitaw,Normal870-72-4431,Normal,Female,p81,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,595.14,4.761904762,29.757,5.5
s847-38-7188,847-38-7188,B847-38-7188,B,M847-38-7188,M,Mandalay,Normal847-38-7188,Normal,Female,p82,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,290.04,4.761904762,14.502,6.4
s480-63-2856,480-63-2856,C480-63-2856,C,N480-63-2856,N,Naypyitaw,Normal480-63-2856,Normal,Male,p83,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,154,4.761904762,7.7,6.6
s787-56-0757,787-56-0757,C787-56-0757,C,N787-56-0757,N,Naypyitaw,Member787-56-0757,Member,Female,p84,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,321.44,4.761904762,16.072,8.3
s360-39-5055,360-39-5055,C360-39-5055,C,N360-39-5055,N,Naypyitaw,Member360-39-5055,Member,Male,p85,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,244.55,4.761904762,12.2275,6.6
s730-50-9884,730-50-9884,C730-50-9884,C,N730-50-9884,N,Naypyitaw,Normal730-50-9884,Normal,Female,p86,Sports and travel,83.06,7,29.071,610.491,3/5/2019,14:31,Ewallet,581.42,4.761904762,29.071,4
s362-58-8315,362-58-8315,C362-58-8315,C,N362-58-8315,N,Naypyitaw,Normal362-58-8315,Normal,Male,p87,Fashion accessories,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,382.6,4.761904762,19.13,9.9
s633-44-8566,633-44-8566,A633-44-8566,A,Y633-44-8566,Y,Yangon,Member633-44-8566,Member,Male,p88,Food and beverages,49.38,7,17.283,362.943,3/27/2019,20:35,Credit card,345.66,4.761904762,17.283,7.3
s504-35-8843,504-35-8843,A504-35-8843,A,Y504-35-8843,Y,Yangon,Normal504-35-8843,Normal,Male,p89,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,42.47,4.761904762,2.1235,5.7
s318-68-5053,318-68-5053,B318-68-5053,B,M318-68-5053,M,Mandalay,Normal318-68-5053,Normal,Female,p90,Health and beauty,76.99,6,23.097,485.037,2/27/2019,17:55,Cash,461.94,4.761904762,23.097,6.1
s565-80-5980,565-80-5980,C565-80-5980,C,N565-80-5980,N,Naypyitaw,Member565-80-5980,Member,Female,p91,Home and lifestyle,47.38,4,9.476,198.996,1/23/2019,10:25,Cash,189.52,4.761904762,9.476,7.1
s225-32-0908,225-32-0908,C225-32-0908,C,N225-32-0908,N,Naypyitaw,Normal225-32-0908,Normal,Female,p92,Sports and travel,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,448.6,4.761904762,22.43,8.2
s873-51-0671,873-51-0671,A873-51-0671,A,Y873-51-0671,Y,Yangon,Member873-51-0671,Member,Female,p93,Sports and travel,21.98,7,7.693,161.553,1/10/2019,16:42,Ewallet,153.86,4.761904762,7.693,5.1
s152-08-9985,152-08-9985,B152-08-9985,B,M152-08-9985,M,Mandalay,Member152-08-9985,Member,Male,p94,Health and beauty,64.36,9,28.962,608.202,3/12/2019,12:09,Credit card,579.24,4.761904762,28.962,8.6
s512-91-0811,512-91-0811,C512-91-0811,C,N512-91-0811,N,Naypyitaw,Normal512-91-0811,Normal,Male,p95,Health and beauty,89.75,1,4.4875,94.2375,2/6/2019,20:05,Credit card,89.75,4.761904762,4.4875,6.6
s594-34-4444,594-34-4444,A594-34-4444,A,Y594-34-4444,Y,Yangon,Normal594-34-4444,Normal,Male,p96,Electronic accessories,97.16,1,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2
s766-85-7061,766-85-7061,B766-85-7061,B,M766-85-7061,M,Mandalay,Normal766-85-7061,Normal,Male,p97,Health and beauty,87.87,10,43.935,922.635,3/29/2019,10:25,Ewallet,878.7,4.761904762,43.935,5.1
s871-39-9221,871-39-9221,C871-39-9221,C,N871-39-9221,N,Naypyitaw,Normal871-39-9221,Normal,Female,p98,Electronic accessories,12.45,6,3.735,78.435,2/9/2019,13:11,Cash,74.7,4.761904762,3.735,4.1
s865-92-6136,865-92-6136,A865-92-6136,A,Y865-92-6136,Y,Yangon,Normal865-92-6136,Normal,Male,p99,Food and beverages,52.75,3,7.9125,166.1625,3/23/2019,10:16,Ewallet,158.25,4.761904762,7.9125,9.3
s733-01-9107,733-01-9107,B733-01-9107,B,M733-01-9107,M,Mandalay,Normal733-01-9107,Normal,Male,p100,Home and lifestyle,82.7,6,24.81,521.01,3/5/2019,18:14,Cash,496.2,4.761904762,24.81,7.4
s163-56-7055,163-56-7055,C163-56-7055,C,N163-56-7055,N,Naypyitaw,Member163-56-7055,Member,Male,p101,Fashion accessories,48.71,1,2.4355,51.1455,3/26/2019,19:20,Cash,48.71,4.761904762,2.4355,4.1
s189-98-2939,189-98-2939,C189-98-2939,C,N189-98-2939,N,Naypyitaw,Normal189-98-2939,Normal,Male,p102,Fashion accessories,78.55,9,35.3475,742.2975,3/1/2019,13:22,Cash,706.95,4.761904762,35.3475,7.2
s551-21-3069,551-21-3069,C551-21-3069,C,N551-21-3069,N,Naypyitaw,Normal551-21-3069,Normal,Female,p103,Electronic accessories,23.07,9,10.3815,218.0115,2/1/2019,11:27,Cash,207.63,4.761904762,10.3815,4.9
s212-62-1842,212-62-1842,A212-62-1842,A,Y212-62-1842,Y,Yangon,Normal212-62-1842,Normal,Male,p104,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,349.56,4.761904762,17.478,9.9
s716-39-1409,716-39-1409,B716-39-1409,B,M716-39-1409,M,Mandalay,Normal716-39-1409,Normal,Male,p105,Health and beauty,30.35,7,10.6225,223.0725,3/19/2019,18:19,Cash,212.45,4.761904762,10.6225,8
s704-48-3927,704-48-3927,A704-48-3927,A,Y704-48-3927,Y,Yangon,Member704-48-3927,Member,Male,p106,Electronic accessories,88.67,10,44.335,931.035,1/12/2019,14:50,Ewallet,886.7,4.761904762,44.335,7.3
s628-34-3388,628-34-3388,C628-34-3388,C,N628-34-3388,N,Naypyitaw,Normal628-34-3388,Normal,Male,p107,Fashion accessories,27.38,6,8.214,172.494,1/5/2019,20:54,Credit card,164.28,4.761904762,8.214,7.9
s630-74-5166,630-74-5166,A630-74-5166,A,Y630-74-5166,Y,Yangon,Normal630-74-5166,Normal,Male,p108,Sports and travel,62.13,6,18.639,391.419,3/22/2019,20:19,Cash,372.78,4.761904762,18.639,7.4
s588-01-7461,588-01-7461,C588-01-7461,C,N588-01-7461,N,Naypyitaw,Normal588-01-7461,Normal,Female,p109,Food and beverages,33.98,9,15.291,321.111,3/24/2019,10:43,Cash,305.82,4.761904762,15.291,4.2
s861-77-0145,861-77-0145,C861-77-0145,C,N861-77-0145,N,Naypyitaw,Member861-77-0145,Member,Male,p110,Electronic accessories,81.97,10,40.985,860.685,3/3/2019,14:30,Cash,819.7,4.761904762,40.985,9.2
s479-26-8945,479-26-8945,B479-26-8945,B,M479-26-8945,M,Mandalay,Member479-26-8945,Member,Female,p111,Sports and travel,16.49,2,1.649,34.629,2/5/2019,11:32,Ewallet,32.98,4.761904762,1.649,4.6
s210-67-5886,210-67-5886,C210-67-5886,C,N210-67-5886,N,Naypyitaw,Member210-67-5886,Member,Female,p112,Health and beauty,98.21,3,14.7315,309.3615,2/5/2019,10:41,Credit card,294.63,4.761904762,14.7315,7.8
s227-78-1148,227-78-1148,B227-78-1148,B,M227-78-1148,M,Mandalay,Normal227-78-1148,Normal,Female,p113,Fashion accessories,72.84,7,25.494,535.374,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4
s645-44-1170,645-44-1170,A645-44-1170,A,Y645-44-1170,Y,Yangon,Member645-44-1170,Member,Male,p114,Home and lifestyle,58.07,9,26.1315,548.7615,1/19/2019,20:07,Ewallet,522.63,4.761904762,26.1315,4.3
s237-01-6122,237-01-6122,C237-01-6122,C,N237-01-6122,N,Naypyitaw,Member237-01-6122,Member,Female,p115,Home and lifestyle,80.79,9,36.3555,763.4655,2/1/2019,20:31,Credit card,727.11,4.761904762,36.3555,9.5
s225-98-1496,225-98-1496,C225-98-1496,C,N225-98-1496,N,Naypyitaw,Normal225-98-1496,Normal,Female,p116,Fashion accessories,27.02,3,4.053,85.113,3/2/2019,13:01,Credit card,81.06,4.761904762,4.053,7.1
s291-32-1427,291-32-1427,B291-32-1427,B,M291-32-1427,M,Mandalay,Member291-32-1427,Member,Male,p117,Fashion accessories,21.94,5,5.485,115.185,3/5/2019,12:29,Ewallet,109.7,4.761904762,5.485,5.3
