sales_id,Invoice ID,Quantity,Tax,Total,cogs,gross margin percentage,gross_income
s574-22-5561,574-22-5561,10,41.315,867.615,826.3,4.761904762,41.315
s326-78-5178,326-78-5178,7,31.99,671.79,639.8,4.761904762,31.99
s162-48-8011,162-48-8011,5,11.1475,234.0975,222.95,4.761904762,11.1475
s616-24-2851,616-24-2851,4,3.574,75.054,71.48,4.761904762,3.574
s778-71-5554,778-71-5554,1,0.7715,16.2015,15.43,4.761904762,0.7715
s242-55-6721,242-55-6721,2,1.616,33.936,32.32,4.761904762,1.616
s399-46-5918,399-46-5918,8,34.392,722.232,687.84,4.761904762,34.392
s106-35-6779,106-35-6779,2,4.434,93.114,88.68,4.761904762,4.434
s635-40-6220,635-40-6220,8,35.84,752.64,716.8,4.761904762,35.84
s817-48-8732,817-48-8732,10,36.175,759.675,723.5,4.761904762,36.175
s120-06-4233,120-06-4233,6,9.183,192.843,183.66,4.761904762,9.183
s285-68-5083,285-68-5083,3,3.711,77.931,74.22,4.761904762,3.711
s803-83-5989,803-83-5989,6,16.719,351.099,334.38,4.761904762,16.719
s347-34-2234,347-34-2234,9,24.7815,520.4115,495.63,4.761904762,24.7815
s199-75-8169,199-75-8169,10,7.905,166.005,158.1,4.761904762,7.905
s853-23-2453,853-23-2453,4,15.148,318.108,302.96,4.761904762,15.148
s877-22-3308,877-22-3308,10,7.935,166.635,158.7,4.761904762,7.935
s838-78-4295,838-78-4295,2,3.347,70.287,66.94,4.761904762,3.347
s109-28-2512,109-28-2512,6,29.283,614.943,585.66,4.761904762,29.283
s232-11-3025,232-11-3025,10,39.385,827.085,787.7,4.761904762,39.385
s382-03-4532,382-03-4532,1,0.9165,19.2465,18.33,4.761904762,0.9165
s393-65-2792,393-65-2792,10,44.74,939.54,894.8,4.761904762,44.74
s796-12-2025,796-12-2025,10,31.06,652.26,621.2,4.761904762,31.06
s510-95-6347,510-95-6347,3,7.278,152.838,145.56,4.761904762,7.278
s841-35-6630,841-35-6630,6,22.773,478.233,455.46,4.761904762,22.773
s287-21-9091,287-21-9091,9,33.6015,705.6315,672.03,4.761904762,33.6015
s732-94-0499,732-94-0499,10,20.825,437.325,416.5,4.761904762,20.825
s263-10-3913,263-10-3913,9,22.068,463.428,441.36,4.761904762,22.068
s381-20-0914,381-20-0914,9,9.0045,189.0945,180.09,4.761904762,9.0045
s829-49-1914,829-49-1914,10,39.155,822.255,783.1,4.761904762,39.155
s756-01-7507,756-01-7507,5,5.095,106.995,101.9,4.761904762,5.095
s870-72-4431,870-72-4431,6,29.757,624.897,595.14,4.761904762,29.757
s847-38-7188,847-38-7188,3,14.502,304.542,290.04,4.761904762,14.502
s480-63-2856,480-63-2856,8,7.7,161.7,154,4.761904762,7.7
s787-56-0757,787-56-0757,4,16.072,337.512,321.44,4.761904762,16.072
s360-39-5055,360-39-5055,5,12.2275,256.7775,244.55,4.761904762,12.2275
s730-50-9884,730-50-9884,7,29.071,610.491,581.42,4.761904762,29.071
s362-58-8315,362-58-8315,5,19.13,401.73,382.6,4.761904762,19.13
s633-44-8566,633-44-8566,7,17.283,362.943,345.66,4.761904762,17.283
s504-35-8843,504-35-8843,1,2.1235,44.5935,42.47,4.761904762,2.1235
s318-68-5053,318-68-5053,6,23.097,485.037,461.94,4.761904762,23.097
s565-80-5980,565-80-5980,4,9.476,198.996,189.52,4.761904762,9.476
s225-32-0908,225-32-0908,10,22.43,471.03,448.6,4.761904762,22.43
s873-51-0671,873-51-0671,7,7.693,161.553,153.86,4.761904762,7.693
s152-08-9985,152-08-9985,9,28.962,608.202,579.24,4.761904762,28.962
s512-91-0811,512-91-0811,1,4.4875,94.2375,89.75,4.761904762,4.4875
s594-34-4444,594-34-4444,1,4.858,102.018,97.16,4.761904762,4.858
s766-85-7061,766-85-7061,10,43.935,922.635,878.7,4.761904762,43.935
s871-39-9221,871-39-9221,6,3.735,78.435,74.7,4.761904762,3.735
s865-92-6136,865-92-6136,3,7.9125,166.1625,158.25,4.761904762,7.9125
s733-01-9107,733-01-9107,6,24.81,521.01,496.2,4.761904762,24.81
s163-56-7055,163-56-7055,1,2.4355,51.1455,48.71,4.761904762,2.4355
s189-98-2939,189-98-2939,9,35.3475,742.2975,706.95,4.761904762,35.3475
s551-21-3069,551-21-3069,9,10.3815,218.0115,207.63,4.761904762,10.3815
s212-62-1842,212-62-1842,6,17.478,367.038,349.56,4.761904762,17.478
s716-39-1409,716-39-1409,7,10.6225,223.0725,212.45,4.761904762,10.6225
s704-48-3927,704-48-3927,10,44.335,931.035,886.7,4.761904762,44.335
s628-34-3388,628-34-3388,6,8.214,172.494,164.28,4.761904762,8.214
s630-74-5166,630-74-5166,6,18.639,391.419,372.78,4.761904762,18.639
s588-01-7461,588-01-7461,9,15.291,321.111,305.82,4.761904762,15.291
s861-77-0145,861-77-0145,10,40.985,860.685,819.7,4.761904762,40.985
s479-26-8945,479-26-8945,2,1.649,34.629,32.98,4.761904762,1.649
s210-67-5886,210-67-5886,3,14.7315,309.3615,294.63,4.761904762,14.7315
s227-78-1148,227-78-1148,7,25.494,535.374,509.88,4.761904762,25.494
s645-44-1170,645-44-1170,9,26.1315,548.7615,522.63,4.761904762,26.1315
s237-01-6122,237-01-6122,9,36.3555,763.4655,727.11,4.761904762,36.3555
s225-98-1496,225-98-1496,3,4.053,85.113,81.06,4.761904762,4.053
s291-32-1427,291-32-1427,5,5.485,115.185,109.7,4.761904762,5.485
s659-65-8956,659-65-8956,1,2.568,53.928,51.36,4.761904762,2.568
s642-32-2990,642-32-2990,10,5.48,115.08,109.6,4.761904762,5.48
s378-24-2715,378-24-2715,2,5.344,112.224,106.88,4.761904762,5.344
s638-60-7125,638-60-7125,8,39.824,836.304,796.48,4.761904762,39.824
s659-36-1684,659-36-1684,7,19.992,419.832,399.84,4.761904762,19.992
s219-22-9386,219-22-9386,9,44.982,944.622,899.64,4.761904762,44.982
s336-78-2147,336-78-2147,8,25.564,536.844,511.28,4.761904762,25.564
s268-27-6179,268-27-6179,8,22.588,474.348,451.76,4.761904762,22.588
s668-90-8900,668-90-8900,7,32.7915,688.6215,655.83,4.761904762,32.7915
s870-54-3162,870-54-3162,5,8.0625,169.3125,161.25,4.761904762,8.0625
s189-08-9157,189-08-9157,9,14.2785,299.8485,285.57,4.761904762,14.2785
s663-86-9076,663-86-9076,8,27.416,575.736,548.32,4.761904762,27.416
s549-84-7482,549-84-7482,9,40.626,853.146,812.52,4.761904762,40.626
s191-10-6171,191-10-6171,7,13.867,291.207,277.34,4.761904762,13.867
s802-70-5316,802-70-5316,6,27.639,580.419,552.78,4.761904762,27.639
s695-51-0018,695-51-0018,4,6.968,146.328,139.36,4.761904762,6.968
s590-83-4591,590-83-4591,6,26.235,550.935,524.7,4.761904762,26.235
s483-71-1164,483-71-1164,6,24.39,512.19,487.8,4.761904762,24.39
s597-78-7908,597-78-7908,3,13.533,284.193,270.66,4.761904762,13.533
s700-81-1757,700-81-1757,5,6.5775,138.1275,131.55,4.761904762,6.5775
s354-39-5160,354-39-5160,6,10.326,216.846,206.52,4.761904762,10.326
s241-72-9525,241-72-9525,10,25.955,545.055,519.1,4.761904762,25.955
s575-30-8091,575-30-8091,8,29,609,580,4.761904762,29
s731-81-9469,731-81-9469,10,44.9,942.9,898,4.761904762,44.9
s280-17-4359,280-17-4359,10,45.25,950.25,905,4.761904762,45.25
s338-65-2210,338-65-2210,10,34.3,720.3,686,4.761904762,34.3
s488-25-4221,488-25-4221,1,1.5205,31.9305,30.41,4.761904762,1.5205
s239-10-7476,239-10-7476,6,23.385,491.085,467.7,4.761904762,23.385
s458-41-1477,458-41-1477,6,13.878,291.438,277.56,4.761904762,13.878
s685-64-1609,685-64-1609,10,15.07,316.47,301.4,4.761904762,15.07
s568-90-5112,568-90-5112,4,13.228,277.788,264.56,4.761904762,13.228
s262-47-2794,262-47-2794,8,28.744,603.624,574.88,4.761904762,28.744
s238-49-0436,238-49-0436,8,12.984,272.664,259.68,4.761904762,12.984
s608-96-3517,608-96-3517,4,18.308,384.468,366.16,4.761904762,18.308
s584-86-7256,584-86-7256,7,12.096,254.016,241.92,4.761904762,12.096
s746-94-0204,746-94-0204,9,37.458,786.618,749.16,4.761904762,37.458
s214-17-6927,214-17-6927,6,4.944,103.824,98.88,4.761904762,4.944
s400-89-4171,400-89-4171,8,32.388,680.148,647.76,4.761904762,32.388
s782-95-9291,782-95-9291,5,23.0725,484.5225,461.45,4.761904762,23.0725
s279-74-2924,279-74-2924,1,3.6085,75.7785,72.17,4.761904762,3.6085
s307-85-2293,307-85-2293,5,12.57,263.97,251.4,4.761904762,12.57
s743-04-1105,743-04-1105,9,43.749,918.729,874.98,4.761904762,43.749
s423-57-2993,423-57-2993,6,28.017,588.357,560.34,4.761904762,28.017
s894-41-5205,894-41-5205,8,17.272,362.712,345.44,4.761904762,17.272
s275-28-0149,275-28-0149,1,3.1845,66.8745,63.69,4.761904762,3.1845
s101-17-6199,101-17-6199,7,16.0265,336.5565,320.53,4.761904762,16.0265
s423-80-0988,423-80-0988,2,7.64,160.44,152.8,4.761904762,7.64
s548-46-9322,548-46-9322,10,19.95,418.95,399,4.761904762,19.95
s505-02-0892,505-02-0892,8,17.028,357.588,340.56,4.761904762,17.028
s234-65-2137,234-65-2137,10,47.79,1003.59,955.8,4.761904762,47.79
s687-47-8271,687-47-8271,10,49.49,1039.29,989.8,4.761904762,49.49
s796-32-9050,796-32-9050,6,15.384,323.064,307.68,4.761904762,15.384
s105-31-1824,105-31-1824,7,24.332,510.972,486.64,4.761904762,24.332
s249-42-3782,249-42-3782,5,17.5025,367.5525,350.05,4.761904762,17.5025
s316-55-4634,316-55-4634,5,20.0125,420.2625,400.25,4.761904762,20.0125
s733-33-4967,733-33-4967,8,8.34,175.14,166.8,4.761904762,8.34
s608-27-6295,608-27-6295,6,15.867,333.207,317.34,4.761904762,15.867
s414-12-7047,414-12-7047,8,7.916,166.236,158.32,4.761904762,7.916
s827-26-2100,827-26-2100,9,15.228,319.788,304.56,4.761904762,15.228
s175-54-2529,175-54-2529,8,8.868,186.228,177.36,4.761904762,8.868
s139-52-2867,139-52-2867,7,7.8785,165.4485,157.57,4.761904762,7.8785
s407-63-8975,407-63-8975,6,22.164,465.444,443.28,4.761904762,22.164
s342-65-4817,342-65-4817,3,13.02,273.42,260.4,4.761904762,13.02
s130-98-8941,130-98-8941,7,22.491,472.311,449.82,4.761904762,22.491
s434-83-9547,434-83-9547,8,15.388,323.148,307.76,4.761904762,15.388
s851-28-6367,851-28-6367,10,7.75,162.75,155,4.761904762,7.75
s824-88-3614,824-88-3614,8,13.724,288.204,274.48,4.761904762,13.724
s586-25-0848,586-25-0848,7,4.319,90.699,86.38,4.761904762,4.319
s895-66-0685,895-66-0685,3,2.712,56.952,54.24,4.761904762,2.712
s305-14-0245,305-14-0245,8,37.796,793.716,755.92,4.761904762,37.796
s732-04-5373,732-04-5373,4,9.294,195.174,185.88,4.761904762,9.294
s400-60-7251,400-60-7251,1,3.7035,77.7735,74.07,4.761904762,3.7035
s593-65-1552,593-65-1552,4,13.962,293.202,279.24,4.761904762,13.962
s284-34-9626,284-34-9626,3,11.556,242.676,231.12,4.761904762,11.556
s437-58-8131,437-58-8131,2,7.352,154.392,147.04,4.761904762,7.352
s286-43-6208,286-43-6208,9,39.51,829.71,790.2,4.761904762,39.51
s641-43-2399,641-43-2399,4,5.11,107.31,102.2,4.761904762,5.11
s831-07-6050,831-07-6050,5,8.1775,171.7275,163.55,4.761904762,8.1775
s556-86-3144,556-86-3144,1,3.7145,78.0045,74.29,4.761904762,3.7145
s848-24-9445,848-24-9445,2,4.37,91.77,87.4,4.761904762,4.37
s856-22-8149,856-22-8149,1,1.2645,26.5545,25.29,4.761904762,1.2645
s699-01-4164,699-01-4164,4,8.3,174.3,166,4.761904762,8.3
s420-11-4919,420-11-4919,5,17.8475,374.7975,356.95,4.761904762,17.8475
s606-80-4905,606-80-4905,6,5.745,120.645,114.9,4.761904762,5.745
s542-41-0513,542-41-0513,4,11.498,241.458,229.96,4.761904762,11.498
s426-39-2418,426-39-2418,7,21.4935,451.3635,429.87,4.761904762,21.4935
s875-46-5808,875-46-5808,10,12.95,271.95,259,4.761904762,12.95
s394-43-4238,394-43-4238,5,4.4425,93.2925,88.85,4.761904762,4.4425
s749-24-1565,749-24-1565,9,10.3635,217.6335,207.27,4.761904762,10.3635
s672-51-8681,672-51-8681,9,29.9925,629.8425,599.85,4.761904762,29.9925
s263-87-5680,263-87-5680,10,14.265,299.565,285.3,4.761904762,14.265
s573-58-9734,573-58-9734,3,4.5555,95.6655,91.11,4.761904762,4.5555
s817-69-8206,817-69-8206,9,44.8785,942.4485,897.57,4.761904762,44.8785
s888-02-0338,888-02-0338,9,11.8035,247.8735,236.07,4.761904762,11.8035
s677-11-0152,677-11-0152,9,41.967,881.307,839.34,4.761904762,41.967
s142-63-6033,142-63-6033,5,23.09,484.89,461.8,4.761904762,23.09
s656-16-1063,656-16-1063,3,6.963,146.223,139.26,4.761904762,6.963
s891-58-8335,891-58-8335,7,10.3635,217.6335,207.27,4.761904762,10.3635
s802-43-8934,802-43-8934,1,0.914,19.194,18.28,4.761904762,0.914
s560-30-5617,560-30-5617,5,6.1925,130.0425,123.85,4.761904762,6.1925
s319-74-2561,319-74-2561,3,14.196,298.116,283.92,4.761904762,14.196
s549-03-9315,549-03-9315,8,37.948,796.908,758.96,4.761904762,37.948
s790-29-1172,790-29-1172,3,8.601,180.621,172.02,4.761904762,8.601
s239-36-3640,239-36-3640,6,13.605,285.705,272.1,4.761904762,13.605
s468-01-2051,468-01-2051,7,21.728,456.288,434.56,4.761904762,21.728
s389-25-3394,389-25-3394,5,2.9525,62.0025,59.05,4.761904762,2.9525
s279-62-1445,279-62-1445,1,0.627,13.167,12.54,4.761904762,0.627
s213-72-6612,213-72-6612,2,4.325,90.825,86.5,4.761904762,4.325
s746-68-6593,746-68-6593,2,8.716,183.036,174.32,4.761904762,8.716
s836-82-5858,836-82-5858,9,31.2165,655.5465,624.33,4.761904762,31.2165
s583-72-1480,583-72-1480,4,7.412,155.652,148.24,4.761904762,7.412
s466-61-5506,466-61-5506,6,27.21,571.41,544.2,4.761904762,27.21
s721-86-6247,721-86-6247,8,25.368,532.728,507.36,4.761904762,25.368
s289-65-5721,289-65-5721,2,8.137,170.877,162.74,4.761904762,8.137
s545-46-3100,545-46-3100,3,1.5885,33.3585,31.77,4.761904762,1.5885
s418-02-5978,418-02-5978,9,37.8405,794.6505,756.81,4.761904762,37.8405
s269-04-5750,269-04-5750,4,14.764,310.044,295.28,4.761904762,14.764
s157-13-5295,157-13-5295,10,25.97,545.37,519.4,4.761904762,25.97
s645-78-8093,645-78-8093,2,9.314,195.594,186.28,4.761904762,9.314
s211-30-9270,211-30-9270,5,4.3525,91.4025,87.05,4.761904762,4.3525
s755-12-3214,755-12-3214,5,11.055,232.155,221.1,4.761904762,11.055
s346-84-3103,346-84-3103,5,3.305,69.405,66.1,4.761904762,3.305
s478-06-7835,478-06-7835,1,4.4845,94.1745,89.69,4.761904762,4.4845
s540-11-4336,540-11-4336,9,11.223,235.683,224.46,4.761904762,11.223
s448-81-5016,448-81-5016,2,5.977,125.517,119.54,4.761904762,5.977
s142-72-4741,142-72-4741,2,9.32,195.72,186.4,4.761904762,9.32
s217-58-1179,217-58-1179,4,12.53,263.13,250.6,4.761904762,12.53
s376-02-8238,376-02-8238,8,37.548,788.508,750.96,4.761904762,37.548
s530-90-9855,530-90-9855,8,19.036,399.756,380.72,4.761904762,19.036
s866-05-7563,866-05-7563,3,12.21,256.41,244.2,4.761904762,12.21
s604-70-6476,604-70-6476,5,4.485,94.185,89.7,4.761904762,4.485
s799-71-1548,799-71-1548,4,15.544,326.424,310.88,4.761904762,15.544
s785-13-7708,785-13-7708,7,25.571,536.991,511.42,4.761904762,25.571
s845-51-0542,845-51-0542,9,20.9475,439.8975,418.95,4.761904762,20.9475
s662-47-5456,662-47-5456,10,17.595,369.495,351.9,4.761904762,17.595
s883-17-4236,883-17-4236,2,1.439,30.219,28.78,4.761904762,1.439
s290-68-2984,290-68-2984,4,4.75,99.75,95,4.761904762,4.75
s704-11-6354,704-11-6354,8,23.56,494.76,471.2,4.761904762,23.56
s110-48-7033,110-48-7033,4,6.524,137.004,130.48,4.761904762,6.524
s366-93-0948,366-93-0948,1,3.3175,69.6675,66.35,4.761904762,3.3175
s729-09-9681,729-09-9681,6,7.773,163.233,155.46,4.761904762,7.773
s151-16-1484,151-16-1484,4,6.45,135.45,129,4.761904762,6.45
s380-94-4661,380-94-4661,4,13.188,276.948,263.76,4.761904762,13.188
s850-41-9669,850-41-9669,9,33.777,709.317,675.54,4.761904762,33.777
s821-07-3596,821-07-3596,4,3.29,69.09,65.8,4.761904762,3.29
s655-85-5130,655-85-5130,4,7.66,160.86,153.2,4.761904762,7.66
s447-15-7839,447-15-7839,10,11.12,233.52,222.4,4.761904762,11.12
s154-74-7179,154-74-7179,1,2.7225,57.1725,54.45,4.761904762,2.7225
s253-12-6086,253-12-6086,7,34.44,723.24,688.8,4.761904762,34.44
s808-65-0703,808-65-0703,4,7.094,148.974,141.88,4.761904762,7.094
s571-94-0759,571-94-0759,10,37.3,783.3,746,4.761904762,37.3
s144-51-6085,144-51-6085,4,14.148,297.108,282.96,4.761904762,14.148
s731-14-2199,731-14-2199,10,17.77,373.17,355.4,4.761904762,17.77
s783-09-1637,783-09-1637,5,16.8575,354.0075,337.15,4.761904762,16.8575
s687-15-1097,687-15-1097,2,2.112,44.352,42.24,4.761904762,2.112
s126-54-1082,126-54-1082,9,9.693,203.553,193.86,4.761904762,9.693
s633-91-1052,633-91-1052,2,1.203,25.263,24.06,4.761904762,1.203
s477-24-6490,477-24-6490,6,29.913,628.173,598.26,4.761904762,29.913
s566-19-5475,566-19-5475,7,16.7895,352.5795,335.79,4.761904762,16.7895
s526-86-8552,526-86-8552,10,10.91,229.11,218.2,4.761904762,10.91
s376-56-3573,376-56-3573,4,19.084,400.764,381.68,4.761904762,19.084
s537-72-0426,537-72-0426,10,35.495,745.395,709.9,4.761904762,35.495
s828-61-5674,828-61-5674,10,22.01,462.21,440.2,4.761904762,22.01
s136-08-6195,136-08-6195,8,27.984,587.664,559.68,4.761904762,27.984
s523-38-0215,523-38-0215,1,1.85,38.85,37,4.761904762,1.85
s490-29-1201,490-29-1201,1,0.767,16.107,15.34,4.761904762,0.767
s667-92-0055,667-92-0055,6,29.949,628.929,598.98,4.761904762,29.949
s565-17-3836,565-17-3836,4,9.534,200.214,190.68,4.761904762,9.534
s498-41-1961,498-41-1961,5,16.67,350.07,333.4,4.761904762,16.67
s593-95-4461,593-95-4461,1,3.743,78.603,74.86,4.761904762,3.743
s226-71-3580,226-71-3580,9,10.6875,224.4375,213.75,4.761904762,10.6875
s283-79-9594,283-79-9594,7,16.9785,356.5485,339.57,4.761904762,16.9785
s430-60-3493,430-60-3493,7,33.208,697.368,664.16,4.761904762,33.208
s139-20-0155,139-20-0155,10,20.15,423.15,403,4.761904762,20.15
s558-80-4082,558-80-4082,7,9.7475,204.6975,194.95,4.761904762,9.7475
s278-97-7759,278-97-7759,1,3.124,65.604,62.48,4.761904762,3.124
s316-68-6352,316-68-6352,2,3.636,76.356,72.72,4.761904762,3.636
s585-03-5943,585-03-5943,10,9.055,190.155,181.1,4.761904762,9.055
s211-05-0490,211-05-0490,5,12.98,272.58,259.6,4.761904762,12.98
s727-75-6477,727-75-6477,4,5.768,121.128,115.36,4.761904762,5.768
s744-02-5987,744-02-5987,6,23.514,493.794,470.28,4.761904762,23.514
s307-83-9164,307-83-9164,4,12.002,252.042,240.04,4.761904762,12.002
s779-06-0012,779-06-0012,1,4.4305,93.0405,88.61,4.761904762,4.4305
s446-47-6729,446-47-6729,2,9.982,209.622,199.64,4.761904762,9.982
s573-10-3877,573-10-3877,1,1.9505,40.9605,39.01,4.761904762,1.9505
s735-06-4124,735-06-4124,1,2.4305,51.0405,48.61,4.761904762,2.4305
s439-54-7422,439-54-7422,4,10.238,214.998,204.76,4.761904762,10.238
s396-90-2219,396-90-2219,8,5.984,125.664,119.68,4.761904762,5.984
s411-77-0180,411-77-0180,7,25.27,530.67,505.4,4.761904762,25.27
s286-01-5402,286-01-5402,7,14.0805,295.6905,281.61,4.761904762,14.0805
s803-17-8013,803-17-8013,8,35.516,745.836,710.32,4.761904762,35.516
s512-98-1403,512-98-1403,3,3.972,83.412,79.44,4.761904762,3.972
s848-42-2560,848-42-2560,2,8.191,172.011,163.82,4.761904762,8.191
s532-59-7201,532-59-7201,6,23.979,503.559,479.58,4.761904762,23.979
s181-94-6432,181-94-6432,2,6.933,145.593,138.66,4.761904762,6.933
s870-76-1733,870-76-1733,5,3.5575,74.7075,71.15,4.761904762,3.5575
s423-64-4619,423-64-4619,9,6.9975,146.9475,139.95,4.761904762,6.9975
s227-07-4446,227-07-4446,10,39.065,820.365,781.3,4.761904762,39.065
s174-36-3675,174-36-3675,2,9.937,208.677,198.74,4.761904762,9.937
s428-83-5800,428-83-5800,3,3.162,66.402,63.24,4.761904762,3.162
s603-07-0961,603-07-0961,5,18.6975,392.6475,373.95,4.761904762,18.6975
s704-20-4138,704-20-4138,7,10.3845,218.0745,207.69,4.761904762,10.3845
s787-15-1757,787-15-1757,4,8.814,185.094,176.28,4.761904762,8.814
s649-11-3678,649-11-3678,9,10.3185,216.6885,206.37,4.761904762,10.3185
s622-20-1945,622-20-1945,1,1.971,41.391,39.42,4.761904762,1.971
s372-94-8041,372-94-8041,6,4.578,96.138,91.56,4.761904762,4.578
s563-91-7120,563-91-7120,5,15.4425,324.2925,308.85,4.761904762,15.4425
s746-54-5508,746-54-5508,6,6.456,135.576,129.12,4.761904762,6.456
s276-54-0879,276-54-0879,4,19.548,410.508,390.96,4.761904762,19.548
s815-11-1168,815-11-1168,5,24.945,523.845,498.9,4.761904762,24.945
s719-76-3868,719-76-3868,4,18.852,395.892,377.04,4.761904762,18.852
s730-61-8757,730-61-8757,4,10.226,214.746,204.52,4.761904762,10.226
s340-66-0321,340-66-0321,4,7.272,152.712,145.44,4.761904762,7.272
s868-81-1752,868-81-1752,9,9.909,208.089,198.18,4.761904762,9.909
s634-97-8956,634-97-8956,3,4.935,103.635,98.7,4.761904762,4.935
s566-71-1091,566-71-1091,5,19.255,404.355,385.1,4.761904762,19.255
s442-48-3607,442-48-3607,2,2.348,49.308,46.96,4.761904762,2.348
s835-16-0096,835-16-0096,5,3.675,77.175,73.5,4.761904762,3.675
s527-09-6272,527-09-6272,5,7.1125,149.3625,142.25,4.761904762,7.1125
s898-04-2717,898-04-2717,9,34.38,721.98,687.6,4.761904762,34.38
s692-27-8933,692-27-8933,6,17.385,365.085,347.7,4.761904762,17.385
s633-09-3463,633-09-3463,3,7.1475,150.0975,142.95,4.761904762,7.1475
s374-17-3652,374-17-3652,9,19.269,404.649,385.38,4.761904762,19.269
s378-07-7001,378-07-7001,3,7.2135,151.4835,144.27,4.761904762,7.2135
s433-75-6987,433-75-6987,7,19.5895,411.3795,391.79,4.761904762,19.5895
s873-95-4984,873-95-4984,7,26.915,565.215,538.3,4.761904762,26.915
s416-13-5917,416-13-5917,5,24.2575,509.4075,485.15,4.761904762,24.2575
s150-89-8043,150-89-8043,3,6.6975,140.6475,133.95,4.761904762,6.6975
s135-84-8019,135-84-8019,9,35.0685,736.4385,701.37,4.761904762,35.0685
s441-94-7118,441-94-7118,1,3.5975,75.5475,71.95,4.761904762,3.5975
s725-96-3778,725-96-3778,8,35.7,749.7,714,4.761904762,35.7
s531-80-1784,531-80-1784,7,9.107,191.247,182.14,4.761904762,9.107
s400-45-1220,400-45-1220,10,6.75,141.75,135,4.761904762,6.75
s860-79-0874,860-79-0874,10,49.65,1042.65,993,4.761904762,49.65
